EL1R EL1W EL0R EL0W KRN/USR (HPD/HPD) APRR
okok ---- ---- ---- rw-/rwx (r--/--x) rw-/rwx
okok ---- ---- ---- rw-/rw- (r--/--x) rw-/rw-
okok ---- ---- ---- r-x/--x (r--/--x) r-x/--x
okok ---- ---- ---- r-x/--- (r--/--x) r-x/---
okok ---- ---- ---- r--/--x (r--/--x) r--/--x
okok ---- ---- ---- r--/--- (r--/--x) r--/---
okok ---- ---- ---- r-x/r-x (r--/--x) r-x/r-x
okok ---- ---- ---- r-x/r-- (r--/--x) r-x/r--
okok ---- ---- ---- r--/r-x (r--/--x) r--/r-x
okok ---- ---- ---- r--/r-- (r--/--x) r--/r--
okok ---- ---- ---- rwx/--x (r--/---) rwx/--x
okok ---- ---- ---- rwx/--- (r--/---) rwx/---
okok ---- ---- ---- rw-/--x (r--/---) rw-/--x
okok ---- ---- ---- rw-/--- (r--/---) rw-/---
okok ---- ---- ---- rwx/rwx (r--/---) rw-/rwx
okok ---- ---- ---- rwx/rw- (r--/---) rw-/rw-
okok ---- ---- ---- rw-/rwx (r--/---) rw-/rwx
okok ---- ---- ---- rw-/rw- (r--/---) rw-/rw-
okok ---- ---- ---- r-x/--x (r--/---) r-x/--x
okok ---- ---- ---- r-x/--- (r--/---) r-x/---
okok ---- ---- ---- r--/--x (r--/---) r--/--x
okok ---- ---- ---- r--/--- (r--/---) r--/---
okok ---- ---- ---- r-x/r-x (r--/---) r-x/r-x
okok ---- ---- ---- r-x/r-- (r--/---) r-x/r--
okok ---- ---- ---- r--/r-x (r--/---) r--/r-x
okok ---- ---- ---- r--/r-- (r--/---) r--/r--

[ACTUAL]  TTE     (HPD)     APRR
[rwx/--x] rwx/--x (rwx/rwx) rwx/--x
[rwx/---] rwx/--- (rwx/rwx) rwx/---
[rw-/--x] rw-/--x (rwx/rwx) rw-/--x
[rw-/---] rw-/--- (rwx/rwx) rw-/---
[rw-/rwx] rwx/rwx (rwx/rwx) rw-/rwx
[rw-/rw-] rwx/rw- (rwx/rwx) rw-/rw-
[rw-/rwx] rw-/rwx (rwx/rwx) rw-/rwx
[rw-/rw-] rw-/rw- (rwx/rwx) rw-/rw-
[r-x/--x] r-x/--x (rwx/rwx) r-x/--x
[r-x/---] r-x/--- (rwx/rwx) r-x/---
[r--/--x] r--/--x (rwx/rwx) r--/--x
[r--/---] r--/--- (rwx/rwx) r--/---
[r-x/r-x] r-x/r-x (rwx/rwx) r-x/r-x
