EL1R EL1W EL0R EL0W KRN/USR (HPD/HPD) APRR
[r-x/r-x] r-x/r-x (rwx/rwx) r-x/r-x
[r-x/r--] r-x/r-- (rwx/rwx) r-x/r--
[r--/r-x] r--/r-x (rwx/rwx) r--/r-x
[r--/r--] r--/r-- (rwx/rwx) r--/r--
[rw-/---] rwx/--x (rwx/rw-) -wx/--x
[rw-/---] rwx/--- (rwx/rw-) rwx/---
[rw-/---] rw-/--x (rwx/rw-) -w-/--x
[rw-/---] rw-/--- (rwx/rw-) rw-/---
[rw-/rw-] rwx/rwx (rwx/rw-) rw-/rwx
[rw-/rw-] rwx/rw- (rwx/rw-) rw-/rw-
[rw-/rw-] rw-/rwx (rwx/rw-) rw-/rwx
[rw-/rw-] rw-/rw- (rwx/rw-) rw-/rw-
[r-x/---] r-x/--x (rwx/rw-) --x/--x
[r-x/---] r-x/--- (rwx/rw-) r-x/---
[r--/---] r--/--x (rwx/rw-) ---/--x
[r--/---] r--/--- (rwx/rw-) r--/---
[r-x/r--] r-x/r-x (rwx/rw-) r-x/r-x
[r-x/r--] r-x/r-- (rwx/rw-) r-x/r--
[r--/r--] r--/r-x (rwx/rw-) r--/r-x
[r--/r--] r--/r-- (rwx/rw-) r--/r--
[-w-/--x] rwx/--x (rw-/rwx) -wx/--x
[rw-/---] rwx/--- (rw-/rwx) rwx/---
[-w-/--x] rw-/--x (rw-/rwx) -w-/--x
[rw-/---] rw-/--- (rw-/rwx) rw-/---
[rw-/rw-] rwx/rwx (rw-/rwx) rw-/rwx
[rw-/rw-] rwx/rw- (rw-/rwx) rw-/rw-
[rw-/rw-] rw-/rwx (rw-/rwx) rw-/rwx
[rw-/rw-] rw-/rw- (rw-/rwx) rw-/rw-
[---/--x] r-x/--x (rw-/rwx) --x/--x
[r--/---] r-x/--- (rw-/rwx) r-x/---
[---/--x] r--/--x (rw-/rwx) ---/--x
[r--/---] r--/--- (rw-/rwx) r--/---
[r--/r-x] r-x/r-x (rw-/rwx) r-x/r-x
[r--/r--] r-x/r-- (rw-/rwx) r-x/r--
[r--/r-x] r--/r-x (rw-/rwx) r--/r-x
[r--/r--] r--/r-- (rw-/rwx) r--/r--
[rw-/---] rwx/--x (rw-/rw-) -wx/--x
[rw-/---] rwx/--- (rw-/rw-) rwx/---
[rw-/---] rw-/--x (rw-/rw-) -w-/--x
[rw-/---] rw-/--- (rw-/rw-) rw-/---
[rw-/rw-] rwx/rwx (rw-/rw-) rw-/rwx
[rw-/rw-] rwx/rw- (rw-/rw-) rw-/rw-
[rw-/rw-] rw-/rwx (rw-/rw-) rw-/rwx
[rw-/rw-] rw-/rw- (rw-/rw-) rw-/rw-
[r--/---] r-x/--x (rw-/rw-) --x/--x
[r--/---] r-x/--- (rw-/rw-) r-x/---
[r--/---] r--/--x (rw-/rw-) ---/--x
[r--/---] r--/--- (rw-/rw-) r--/---
[r--/r--] r-x/r-x (rw-/rw-) r-x/r-x
[r--/r--] r-x/r-- (rw-/rw-) r-x/r--
[r--/r--] r--/r-x (rw-/rw-) r--/r-x
[r--/r--] r--/r-- (rw-/rw-) r--/r--
[-w-/--x] rwx/--x (rwx/--x) -wx/--x
[rw-/---] rwx/--- (rwx/--x) rwx/---
[-w-/--x] rw-/--x (rwx/--x) -w-/--x
[rw-/---] rw-/--- (rwx/--x) rw-/---
[-w-/--x] rwx/rwx (rwx/--x) rw-/rwx
[rw-/---] rwx/rw- (rwx/--x) rw-/rw-
[-w-/--x] rw-/rwx (rwx/--x) rw-/rwx
[rw-/---] rw-/rw- (rwx/--x) rw-/rw-
[--x/--x] r-x/--x (rwx/--x) --x/--x
[r-x/---] r-x/--- (rwx/--x) r-x/---
[---/--x] r--/--x (rwx/--x) ---/--x
[r--/---] r--/--- (rwx/--x) r--/---
[--x/--x] r-x/r-x (rwx/--x) r-x/r-x
[r-x/---] r-x/r-- (rwx/--x) r-x/r--
[---/--x] r--/r-x (rwx/--x) r--/r-x
[r--/---] r--/r-- (rwx/--x) r--/r--
[rw-/---] rwx/--x (rwx/---) -wx/--x
[rw-/---] rwx/--- (rwx/---) rwx/---
[rw-/---] rw-/--x (rwx/---) -w-/--x
[rw-/---] rw-/--- (rwx/---) rw-/---
[rw-/---] rwx/rwx (rwx/---) rw-/rwx
[rw-/---] rwx/rw- (rwx/---) rw-/rw-
[rw-/---] rw-/rwx (rwx/---) rw-/rwx
[rw-/---] rw-/rw- (rwx/---) rw-/rw-
[r-x/---] r-x/--x (rwx/---) --x/--x
[r-x/---] r-x/--- (rwx/---) r-x/---
[r--/---] r--/--x (rwx/---) ---/--x
[r--/---] r--/--- (rwx/---) r--/---
[r-x/---] r-x/r-x (rwx/---) r-x/r-x
